frecuencia_hz,y11_real_s,y11_imag_s,y11_mod_s,y11_fase_deg,y12_real_s,y12_imag_s,y12_mod_s,y12_fase_deg,y21_real_s,y21_imag_s,y21_mod_s,y21_fase_deg,y22_real_s,y22_imag_s,y22_mod_s,y22_fase_deg
19.498446,9.71445147e-17,3.10406387e-09,3.104063870000001e-09,89.99999820687623,-8.44853495e-17,-2.6752588e-09,2.6752588000000014e-09,-90.00000180941522,-0.741398573,2.07382957e-08,0.7413985730000003,179.9999983973306,0.74142482,-1.66369855e-08,0.7414248200000001,-1.2856718945156806e-06
19.9526231,9.71445147e-17,3.1763668e-09,3.1763668000000013e-09,89.99999824769272,-8.84670213e-17,-2.73757358e-09,2.737573580000001e-09,-90.0000018515619,-0.741398573,2.12213526e-08,0.7413985730000003,179.9999983599996,0.74142482,-1.70245107e-08,0.7414248200000001,-1.3156190419755716e-06
20.4173794,1.2490009e-16,3.25035389e-09,3.250353890000002e-09,89.99999779831728,-9.26363436e-17,-2.80133986e-09,2.801339860000001e-09,-90.00000189469033,-0.741398573,2.17156614e-08,0.7413985730000003,179.99999832179913,0.74142482,-1.74210625e-08,0.7414248200000001,-1.3462637464492037e-06
20.8929613,1.2490009e-16,3.32606436e-09,3.326064360000002e-09,89.9999978484337,-9.70021599e-17,-2.86659145e-09,2.8665914500000014e-09,-90.00000193882332,-0.741398573,2.22214842e-08,0.7413985730000003,179.9999982827088,0.74142482,-1.78268512e-08,0.7414248200000001,-1.3776222594864397e-06
21.3796209,1.2490009e-16,3.40353835e-09,3.403538350000002e-09,89.99999789740932,-1.01573731e-16,-2.93336294e-09,2.9333629400000014e-09,-90.00000198398432,-0.741398573,2.2739089e-08,0.7413985730000003,179.99999824270793,0.74142482,-1.82420919e-08,0.7414248200000001,-1.409711203571233e-06
21.8776162,1.2490009e-16,3.48281694e-09,3.4828169400000027e-09,89.99999794527012,-1.06360753e-16,-3.00168974e-09,3.001689740000002e-09,-90.00000203019725,-0.741398573,2.32687505e-08,0.7413985730000003,179.99999820177536,0.74142482,-1.86670048e-08,0.7414248200000001,-1.4425475953050089e-06
22.3872114,1.2490009e-16,3.56394217e-09,3.5639421700000024e-09,89.9999979920415,-1.11373381e-16,-3.07160807e-09,3.0716080700000023e-09,-90.00000207748663,-0.741398573,2.38107493e-08,0.7413985730000003,179.99999815988932,0.74142482,-1.91018152e-08,0.7414248200000001,-1.4761488454066647e-06
22.9086765,1.38777878e-16,3.64695705e-09,3.6469570500000024e-09,89.99999781972022,-1.16622247e-16,-3.14315502e-09,3.143155020000002e-09,-90.0000021258775,-0.741398573,2.43653729e-08,0.7413985730000003,179.99999811702764,0.74142482,-1.95467536e-08,0.7414248200000001,-1.5105327664403627e-06
23.4422882,1.38777878e-16,3.73190559e-09,3.731905590000002e-09,89.99999786934946,-1.22118484e-16,-3.2163685e-09,3.216368500000002e-09,-90.00000217539557,-0.741398573,2.49329153e-08,0.7413985730000003,179.99999807316757,0.74142482,-2.0002056e-08,0.7414248200000001,-1.5457175959989109e-06
23.9883292,1.52655666e-16,3.81883284e-09,3.8188328400000025e-09,89.99999770963387,-1.27873751e-16,-3.29128735e-09,3.291287350000002e-09,-90.00000222606702,-0.741398573,2.55136775e-08,0.7413985730000003,179.9999980282859,0.74142482,-2.04679637e-08,0.7414248200000001,-1.581721981248176e-06
